Individual,Fitness,RobotStructure
0,4.822448457522938,"3.0,3.0,4.0,0.0,0.0|2.0,1.0,3.0,4.0,0.0|1.0,3.0,2.0,4.0,3.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
1,4.372531113431441,"2.0,3.0,4.0,0.0,0.0|2.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,1.0,4.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
2,4.348739594201866,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,4.0,0.0|0.0,3.0,1.0,1.0,4.0|3.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
3,4.262481318296436,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,4.0,0.0|0.0,3.0,1.0,1.0,4.0|4.0,3.0,4.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
4,4.184247066012864,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,1.0,1.0|4.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
5,4.183818467948005,"3.0,3.0,4.0,0.0,0.0|2.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,1.0,3.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
6,4.181200755493234,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,1.0,1.0,4.0|3.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
7,4.180312222584492,"1.0,3.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,1.0|4.0,3.0,1.0,3.0,1.0|4.0,0.0,0.0,2.0,3.0"
8,4.166063521166534,"1.0,3.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,1.0|4.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
9,4.151006268952589,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,0.0,0.0|1.0,1.0,1.0,4.0,4.0|2.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
10,3.9308048626162577,"1.0,3.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,1.0,4.0,3.0|4.0,3.0,1.0,3.0,1.0|4.0,0.0,0.0,2.0,3.0"
11,3.7427703071592298,"1.0,2.0,2.0,0.0,0.0|4.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,1.0|4.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
12,3.686912795033929,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,4.0,2.0|0.0,3.0,1.0,4.0,4.0|4.0,3.0,4.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
13,3.514235924225804,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,0.0,0.0|1.0,3.0,1.0,4.0,0.0|2.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
14,3.38712130915209,"3.0,3.0,4.0,0.0,0.0|2.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,1.0,3.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,1.0,4.0"
15,2.940995836656642,"1.0,3.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,3.0,1.0|1.0,3.0,1.0,3.0,1.0|4.0,0.0,0.0,2.0,3.0"
16,2.3104968292949275,"2.0,3.0,4.0,3.0,0.0|0.0,2.0,3.0,4.0,0.0|0.0,3.0,1.0,1.0,4.0|2.0,3.0,4.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
17,2.306491202823582,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,4.0,0.0|0.0,3.0,1.0,4.0,4.0|4.0,3.0,4.0,3.0,3.0|4.0,1.0,0.0,1.0,3.0"
18,2.0632175417413765,"2.0,3.0,4.0,4.0,0.0|0.0,1.0,3.0,0.0,0.0|1.0,1.0,1.0,4.0,4.0|2.0,3.0,1.0,3.0,4.0|4.0,0.0,0.0,1.0,3.0"
19,2.033344837118474,"3.0,3.0,4.0,0.0,0.0|2.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,1.0,3.0|3.0,3.0,3.0,3.0,3.0|4.0,4.0,3.0,2.0,3.0"
20,1.5610311766564176,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,3.0,0.0|0.0,4.0,1.0,1.0,4.0|4.0,3.0,4.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
21,1.5592205172816973,"1.0,3.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,2.0|4.0,2.0,1.0,3.0,1.0|4.0,0.0,0.0,2.0,3.0"
22,1.5575703639572915,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,4.0,3.0|1.0,3.0,1.0,1.0,4.0|4.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
23,1.334675287373484,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,0.0,4.0,0.0|0.0,3.0,1.0,1.0,4.0|3.0,3.0,4.0,3.0,3.0|4.0,0.0,0.0,1.0,3.0"
24,1.1847664662810984,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,1.0,1.0,4.0|3.0,3.0,1.0,4.0,3.0|4.0,0.0,0.0,1.0,4.0"
25,1.1005661141163168,"1.0,2.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,1.0|4.0,3.0,1.0,3.0,1.0|0.0,0.0,0.0,2.0,3.0"
26,0.873932085014976,"1.0,1.0,2.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,3.0,0.0,4.0,1.0|4.0,0.0,1.0,3.0,1.0|4.0,0.0,0.0,2.0,3.0"
27,0.8037121553259873,"2.0,3.0,4.0,0.0,0.0|0.0,1.0,3.0,4.0,0.0|1.0,2.0,2.0,1.0,1.0|4.0,3.0,1.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
28,0.027701532175628707,"2.0,3.0,4.0,0.0,0.0|0.0,2.0,3.0,4.0,2.0|0.0,3.0,1.0,1.0,4.0|4.0,3.0,4.0,3.0,3.0|4.0,0.0,4.0,1.0,3.0"
29,-0.9305025302281846,"2.0,3.0,4.0,0.0,0.0|3.0,1.0,3.0,4.0,0.0|1.0,3.0,2.0,1.0,4.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,2.0,3.0"
