Individual,Fitness,RobotStructure
0,1.166823027643926,"0.0,0.0,1.0,3.0,1.0|3.0,2.0,3.0,0.0,2.0|1.0,3.0,2.0,3.0,4.0|1.0,0.0,0.0,4.0,4.0|3.0,0.0,0.0,3.0,4.0"
1,1.142743996709818,"2.0,2.0,1.0,3.0,2.0|2.0,4.0,3.0,1.0,2.0|1.0,3.0,1.0,4.0,4.0|1.0,0.0,1.0,2.0,4.0|3.0,0.0,0.0,1.0,0.0"
2,1.137815943581678,"4.0,0.0,0.0,3.0,1.0|2.0,2.0,3.0,0.0,4.0|2.0,3.0,2.0,3.0,4.0|1.0,0.0,0.0,4.0,4.0|3.0,0.0,0.0,3.0,4.0"
3,1.1227088679826398,"1.0,0.0,1.0,4.0,0.0|2.0,0.0,3.0,2.0,4.0|2.0,3.0,2.0,3.0,4.0|1.0,0.0,2.0,1.0,2.0|3.0,0.0,4.0,3.0,4.0"
4,1.116772324094776,"2.0,0.0,1.0,3.0,2.0|2.0,0.0,3.0,2.0,2.0|3.0,3.0,1.0,0.0,4.0|1.0,0.0,1.0,1.0,4.0|3.0,0.0,4.0,0.0,4.0"
5,1.1160673314473146,"2.0,0.0,1.0,3.0,2.0|2.0,2.0,3.0,4.0,4.0|2.0,3.0,1.0,3.0,4.0|1.0,0.0,2.0,4.0,4.0|3.0,0.0,0.0,3.0,4.0"
6,1.112197396864549,"1.0,0.0,1.0,3.0,2.0|2.0,2.0,3.0,4.0,4.0|2.0,3.0,2.0,3.0,4.0|1.0,0.0,0.0,4.0,4.0|3.0,0.0,0.0,3.0,4.0"
7,1.1111685700153966,"2.0,2.0,1.0,3.0,2.0|0.0,0.0,3.0,1.0,2.0|3.0,3.0,2.0,0.0,4.0|1.0,0.0,2.0,1.0,4.0|3.0,0.0,4.0,0.0,4.0"
8,1.110393705045899,"2.0,0.0,1.0,3.0,2.0|2.0,0.0,3.0,1.0,2.0|3.0,3.0,1.0,0.0,4.0|1.0,0.0,1.0,1.0,4.0|3.0,0.0,0.0,1.0,4.0"
9,1.1089351147035902,"4.0,0.0,1.0,3.0,1.0|2.0,2.0,3.0,0.0,2.0|1.0,3.0,2.0,3.0,4.0|1.0,0.0,2.0,4.0,4.0|3.0,0.0,0.0,3.0,4.0"
10,1.1087900957686374,"0.0,0.0,0.0,0.0,3.0|2.0,1.0,0.0,0.0,2.0|2.0,3.0,2.0,3.0,1.0|4.0,0.0,0.0,4.0,2.0|0.0,0.0,0.0,3.0,0.0"
11,1.1084049247897385,"4.0,0.0,1.0,3.0,0.0|2.0,0.0,3.0,2.0,2.0|3.0,3.0,1.0,0.0,4.0|1.0,0.0,2.0,1.0,4.0|3.0,0.0,4.0,0.0,4.0"
12,1.096001063468833,"1.0,0.0,1.0,3.0,1.0|2.0,2.0,3.0,1.0,2.0|2.0,3.0,3.0,3.0,0.0|1.0,0.0,1.0,4.0,3.0|3.0,0.0,4.0,2.0,4.0"
13,1.0950624016668504,"2.0,0.0,1.0,3.0,2.0|2.0,2.0,3.0,4.0,2.0|2.0,3.0,1.0,3.0,4.0|1.0,0.0,1.0,4.0,4.0|3.0,0.0,4.0,2.0,4.0"
14,1.084482155535886,"2.0,3.0,1.0,3.0,2.0|2.0,4.0,3.0,1.0,2.0|3.0,3.0,3.0,3.0,4.0|1.0,0.0,1.0,3.0,4.0|3.0,0.0,0.0,4.0,0.0"
15,1.0354650805969872,"4.0,0.0,0.0,0.0,1.0|4.0,0.0,0.0,0.0,2.0|3.0,3.0,2.0,0.0,4.0|4.0,0.0,2.0,4.0,4.0|0.0,0.0,0.0,3.0,0.0"
16,0.3383118387144035,"2.0,2.0,1.0,3.0,2.0|0.0,4.0,3.0,1.0,4.0|3.0,3.0,2.0,3.0,4.0|1.0,0.0,2.0,4.0,4.0|3.0,0.0,4.0,1.0,0.0"
17,0.3266845346652332,"0.0,0.0,4.0,3.0,1.0|2.0,1.0,0.0,1.0,2.0|4.0,3.0,1.0,4.0,4.0|4.0,0.0,0.0,4.0,2.0|3.0,0.0,0.0,1.0,0.0"
18,0.3123926714416971,"4.0,0.0,1.0,2.0,2.0|2.0,0.0,3.0,0.0,4.0|2.0,3.0,1.0,3.0,3.0|1.0,0.0,1.0,1.0,4.0|3.0,0.0,0.0,3.0,4.0"
19,0.3010024507834985,"4.0,0.0,1.0,3.0,2.0|2.0,2.0,3.0,2.0,2.0|3.0,3.0,3.0,0.0,4.0|1.0,0.0,2.0,1.0,4.0|3.0,0.0,4.0,1.0,4.0"
20,0.30097012052846145,"2.0,3.0,1.0,3.0,1.0|2.0,2.0,3.0,0.0,4.0|2.0,3.0,2.0,3.0,4.0|1.0,0.0,2.0,2.0,4.0|3.0,0.0,0.0,1.0,4.0"
21,0.2624219082331373,"2.0,0.0,1.0,1.0,2.0|2.0,2.0,3.0,4.0,4.0|1.0,3.0,1.0,3.0,0.0|1.0,0.0,0.0,4.0,4.0|3.0,0.0,0.0,1.0,0.0"
