Individual,Fitness,RobotStructure
0,3.438271489944075,"1.0,3.0,2.0,4.0,2.0|1.0,2.0,2.0,4.0,2.0|3.0,0.0,1.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|4.0,0.0,0.0,1.0,3.0"
1,3.416892465310817,"0.0,0.0,3.0,2.0,0.0|1.0,1.0,3.0,4.0,0.0|2.0,0.0,3.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|4.0,4.0,0.0,2.0,2.0"
2,3.312936068917017,"1.0,3.0,2.0,4.0,2.0|1.0,2.0,3.0,1.0,2.0|3.0,0.0,3.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|4.0,0.0,0.0,1.0,3.0"
3,3.292172392086379,"0.0,3.0,0.0,4.0,2.0|1.0,2.0,2.0,1.0,0.0|3.0,2.0,4.0,1.0,4.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,0.0,3.0,0.0"
4,3.278692297564538,"0.0,4.0,2.0,2.0,4.0|4.0,2.0,3.0,4.0,0.0|3.0,0.0,0.0,1.0,3.0|2.0,3.0,3.0,3.0,1.0|4.0,2.0,0.0,2.0,3.0"
5,2.999534645706528,"0.0,2.0,2.0,1.0,0.0|4.0,2.0,3.0,4.0,0.0|3.0,0.0,1.0,1.0,3.0|2.0,3.0,3.0,3.0,1.0|4.0,4.0,0.0,1.0,3.0"
6,2.8276091087107407,"0.0,2.0,2.0,4.0,4.0|0.0,2.0,2.0,4.0,0.0|3.0,2.0,3.0,1.0,3.0|2.0,3.0,3.0,3.0,1.0|4.0,4.0,0.0,3.0,1.0"
7,2.776385070345833,"0.0,4.0,2.0,1.0,0.0|1.0,1.0,1.0,4.0,0.0|3.0,0.0,2.0,1.0,1.0|2.0,3.0,3.0,3.0,1.0|4.0,0.0,0.0,1.0,0.0"
8,2.716780617828835,"1.0,2.0,4.0,4.0,1.0|1.0,2.0,2.0,4.0,2.0|3.0,0.0,1.0,2.0,1.0|3.0,3.0,3.0,3.0,1.0|4.0,2.0,0.0,3.0,3.0"
9,2.69669540060929,"0.0,0.0,4.0,1.0,0.0|4.0,2.0,3.0,4.0,0.0|3.0,0.0,1.0,1.0,2.0|2.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,1.0,2.0"
10,2.6727762627269374,"0.0,0.0,2.0,2.0,0.0|0.0,2.0,3.0,4.0,0.0|4.0,0.0,3.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,1.0,2.0"
11,2.538307100950783,"0.0,1.0,2.0,0.0,2.0|0.0,2.0,3.0,4.0,2.0|4.0,0.0,1.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,1.0,3.0"
12,2.485949762613778,"0.0,2.0,3.0,2.0,4.0|0.0,1.0,2.0,4.0,0.0|2.0,0.0,3.0,1.0,1.0|2.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,2.0,2.0"
13,2.469535862003202,"2.0,2.0,4.0,0.0,2.0|2.0,0.0,2.0,1.0,4.0|3.0,2.0,1.0,4.0,0.0|2.0,3.0,3.0,1.0,1.0|1.0,0.0,3.0,0.0,3.0"
14,2.4299005065411334,"0.0,2.0,2.0,4.0,0.0|0.0,2.0,3.0,4.0,3.0|4.0,0.0,3.0,1.0,3.0|3.0,3.0,3.0,3.0,1.0|4.0,4.0,0.0,0.0,1.0"
15,2.4054031274318937,"0.0,0.0,2.0,2.0,0.0|4.0,2.0,3.0,4.0,2.0|4.0,0.0,3.0,3.0,1.0|2.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,2.0,3.0"
16,2.3972412489179122,"2.0,3.0,4.0,2.0,0.0|1.0,2.0,3.0,4.0,0.0|3.0,2.0,4.0,4.0,1.0|3.0,3.0,1.0,3.0,1.0|4.0,2.0,0.0,3.0,3.0"
17,2.390432876338012,"0.0,4.0,2.0,0.0,0.0|1.0,1.0,3.0,4.0,0.0|1.0,4.0,1.0,3.0,1.0|2.0,3.0,3.0,3.0,3.0|0.0,0.0,0.0,1.0,0.0"
18,2.3791852107392204,"4.0,1.0,2.0,0.0,0.0|1.0,2.0,1.0,4.0,0.0|3.0,0.0,1.0,1.0,1.0|2.0,1.0,3.0,2.0,1.0|4.0,2.0,0.0,3.0,3.0"
19,2.292010760422692,"0.0,0.0,2.0,1.0,0.0|0.0,2.0,3.0,4.0,0.0|3.0,0.0,3.0,1.0,3.0|2.0,3.0,3.0,3.0,0.0|4.0,4.0,0.0,1.0,3.0"
20,2.241811829585243,"0.0,4.0,2.0,1.0,4.0|1.0,2.0,3.0,4.0,0.0|3.0,0.0,1.0,1.0,1.0|2.0,3.0,3.0,1.0,1.0|4.0,4.0,0.0,2.0,0.0"
21,1.9228741149539132,"2.0,1.0,3.0,4.0,0.0|2.0,2.0,2.0,1.0,4.0|3.0,2.0,1.0,1.0,1.0|3.0,2.0,1.0,3.0,3.0|3.0,2.0,0.0,3.0,3.0"
22,1.8723706866732555,"0.0,2.0,3.0,2.0,4.0|0.0,1.0,2.0,2.0,0.0|2.0,2.0,3.0,1.0,1.0|2.0,3.0,3.0,3.0,3.0|0.0,2.0,0.0,3.0,1.0"
23,1.817511046952962,"3.0,2.0,4.0,4.0,2.0|2.0,2.0,2.0,4.0,4.0|3.0,2.0,3.0,4.0,0.0|2.0,3.0,3.0,3.0,1.0|4.0,0.0,0.0,0.0,3.0"
24,1.6959085141661854,"0.0,1.0,2.0,2.0,0.0|0.0,2.0,3.0,3.0,0.0|4.0,0.0,1.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|0.0,4.0,0.0,1.0,2.0"
25,1.4324126091495406,"0.0,2.0,2.0,1.0,2.0|4.0,2.0,3.0,4.0,0.0|2.0,0.0,1.0,4.0,4.0|3.0,3.0,3.0,2.0,1.0|1.0,2.0,0.0,1.0,3.0"
26,1.2907445960740243,"2.0,3.0,2.0,4.0,2.0|1.0,2.0,2.0,1.0,0.0|3.0,2.0,4.0,1.0,1.0|3.0,3.0,3.0,3.0,1.0|1.0,0.0,0.0,3.0,0.0"
27,1.261985862619214,"1.0,2.0,2.0,4.0,1.0|1.0,2.0,3.0,4.0,2.0|0.0,0.0,1.0,1.0,2.0|2.0,3.0,3.0,3.0,3.0|0.0,4.0,0.0,1.0,3.0"
28,1.261246132423596,"3.0,3.0,2.0,2.0,4.0|1.0,1.0,2.0,4.0,0.0|2.0,2.0,3.0,1.0,1.0|2.0,3.0,3.0,0.0,1.0|0.0,2.0,0.0,3.0,2.0"
29,1.1754904993773778,"0.0,2.0,2.0,4.0,4.0|0.0,2.0,2.0,1.0,4.0|3.0,2.0,3.0,1.0,3.0|3.0,3.0,1.0,0.0,1.0|4.0,2.0,0.0,3.0,3.0"
30,1.1530685753800616,"0.0,2.0,1.0,2.0,0.0|0.0,1.0,3.0,4.0,0.0|4.0,0.0,3.0,1.0,1.0|2.0,3.0,1.0,3.0,1.0|0.0,4.0,0.0,2.0,2.0"
31,0.9710003640565766,"1.0,3.0,4.0,2.0,2.0|2.0,2.0,3.0,4.0,0.0|2.0,4.0,3.0,1.0,0.0|0.0,2.0,3.0,1.0,1.0|1.0,2.0,3.0,0.0,1.0"
32,0.9451279270126065,"1.0,3.0,4.0,2.0,0.0|2.0,1.0,4.0,3.0,0.0|4.0,4.0,1.0,1.0,1.0|0.0,1.0,1.0,2.0,3.0|3.0,2.0,0.0,1.0,3.0"
33,0.7157901512160635,"0.0,3.0,0.0,2.0,0.0|0.0,2.0,2.0,1.0,0.0|3.0,0.0,4.0,1.0,2.0|2.0,3.0,3.0,2.0,3.0|4.0,2.0,0.0,3.0,3.0"
34,0.6146775975463612,"2.0,3.0,0.0,2.0,2.0|3.0,1.0,3.0,4.0,0.0|1.0,0.0,1.0,2.0,3.0|3.0,1.0,3.0,2.0,1.0|0.0,4.0,4.0,3.0,3.0"
35,0.6101069770252359,"0.0,3.0,2.0,2.0,0.0|1.0,2.0,1.0,4.0,4.0|0.0,0.0,2.0,1.0,1.0|2.0,2.0,3.0,2.0,4.0|0.0,4.0,0.0,3.0,2.0"
36,0.608563182937921,"0.0,0.0,2.0,0.0,0.0|1.0,2.0,3.0,4.0,0.0|3.0,0.0,4.0,4.0,1.0|3.0,3.0,3.0,3.0,3.0|0.0,0.0,2.0,3.0,2.0"
37,0.4835192133968051,"0.0,1.0,2.0,4.0,0.0|0.0,1.0,3.0,4.0,0.0|0.0,2.0,1.0,1.0,4.0|4.0,1.0,2.0,3.0,3.0|3.0,4.0,0.0,3.0,3.0"
38,0.42788028340353734,"4.0,0.0,2.0,2.0,0.0|1.0,2.0,3.0,4.0,0.0|4.0,0.0,1.0,1.0,1.0|3.0,3.0,3.0,1.0,2.0|0.0,2.0,3.0,1.0,3.0"
39,0.341424304216854,"0.0,3.0,2.0,2.0,3.0|1.0,1.0,0.0,4.0,2.0|2.0,1.0,1.0,3.0,1.0|3.0,3.0,3.0,3.0,1.0|0.0,0.0,0.0,2.0,3.0"
40,0.1888610953417736,"1.0,3.0,0.0,0.0,0.0|2.0,2.0,4.0,1.0,0.0|3.0,0.0,3.0,1.0,3.0|3.0,2.0,0.0,3.0,1.0|4.0,2.0,0.0,3.0,3.0"
41,0.16318618276342906,"2.0,3.0,0.0,2.0,1.0|1.0,2.0,0.0,4.0,4.0|4.0,2.0,3.0,3.0,1.0|2.0,1.0,3.0,2.0,3.0|0.0,2.0,0.0,1.0,2.0"
42,0.09999286148563702,"0.0,3.0,2.0,2.0,2.0|1.0,2.0,2.0,2.0,0.0|3.0,2.0,0.0,1.0,3.0|3.0,3.0,3.0,3.0,3.0|4.0,0.0,3.0,2.0,0.0"
43,0.010527678046945932,"0.0,4.0,1.0,2.0,1.0|1.0,2.0,2.0,4.0,2.0|3.0,2.0,3.0,3.0,1.0|2.0,4.0,3.0,2.0,1.0|4.0,2.0,0.0,3.0,4.0"
44,-0.013949567257418916,"2.0,3.0,2.0,2.0,0.0|2.0,2.0,1.0,3.0,0.0|2.0,4.0,0.0,1.0,2.0|3.0,2.0,2.0,0.0,3.0|0.0,4.0,0.0,3.0,3.0"
