Algoritmo,Seed,Fitness
CMA_ES_controller,42,2.5969800736953204
CMA_ES_controller,123,2.648164845114516
CMA_ES_controller,2025,1.9222444353369423
CMA_ES_controller,8675309,1.860583191213906
CMA_ES_controller,123456789,2.409580931543142
DE_controller,42,1.4828926801990705
DE_controller,123,1.725861352540384
DE_controller,2025,1.5295269622652503
DE_controller,8675309,1.5835044105157037
DE_controller,123456789,1.482047679884782
ES_controller,42,1.5167395305776012
ES_controller,123,2.43226834863889
ES_controller,2025,1.531565747654296
ES_controller,8675309,1.893355596734392
ES_controller,123456789,2.3918574162578072
ES_controller 3000,42,1.7788341697684695
ES_controller 3000,123,2.8178650653401816
ES_controller 3000,2025,1.518189205822582
ES_controller 3000,8675309,1.5346484884580252
ES_controller 3000,123456789,1.8359268064605008
