Algoritmo,Seed,Fitness
ES_Structure,42,7.198634343672021
ES_Structure,123,7.991451416960872
ES_Structure,2025,4.975413030728814
ES_Structure,8675309,3.577302567351672
ES_Structure,123456789,6.233060785820577
GA_Structure 100x30,42,5.784599296478591
GA_Structure 100x30,123,4.898476392059369
GA_Structure 100x30,2025,5.522022421752486
GA_Structure 100x30,8675309,7.33702222011347
GA_Structure 100x30,123456789,6.4269291965627815
GA_Structure 30x100,42,4.733916111574944
GA_Structure 30x100,123,6.69176164244167
GA_Structure 30x100,2025,4.753788656238135
GA_Structure 30x100,8675309,5.594256242460348
GA_Structure 30x100,123456789,5.640458731710801
