Algorithm 1,Algorithm 2,Mean 1,Mean 2,t-statistic,p-value,Significant
CMA_ES_controller,DE_controller,4.440918379130914,2.263603832101307,5.914355019020674,0.00035594451082895397,YES
CMA_ES_controller,ES_Structure,4.440918379130914,3.9310026786572068,1.2118466078964236,0.26014613156053107,NO
CMA_ES_controller,ES_controller,4.440918379130914,3.0485922462662716,5.223808355765726,0.000798872151524287,YES
CMA_ES_controller,ES_controller 3000,4.440918379130914,3.0925962223577304,2.218069314885502,0.057354577263261146,NO
DE_controller,ES_Structure,2.263603832101307,3.9310026786572068,-3.0116241738013825,0.016772008328599416,YES
DE_controller,ES_controller,2.263603832101307,3.0485922462662716,-1.7530028909117712,0.11769379636062394,NO
DE_controller,ES_controller 3000,2.263603832101307,3.0925962223577304,-1.173546201850167,0.27432936832743465,NO
ES_Structure,ES_controller,3.9310026786572068,3.0485922462662716,1.7935825527666538,0.11063252920408241,NO
ES_Structure,ES_controller 3000,3.9310026786572068,3.0925962223577304,1.1403725740648005,0.28711886561864736,NO
ES_controller,ES_controller 3000,3.0485922462662716,3.0925962223577304,-0.06675600585476586,0.9484141356952231,NO
