Individual,Fitness,RobotStructure
0,2.177306438861062,"0.0,2.0,1.0,3.0,4.0|4.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,0.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
1,2.1766340826206783,"0.0,2.0,4.0,3.0,4.0|0.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
2,2.173633497692414,"0.0,2.0,4.0,3.0,4.0|3.0,3.0,2.0,1.0,1.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
3,2.1700882713187615,"2.0,1.0,2.0,3.0,4.0|3.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
4,2.169012149377253,"0.0,1.0,2.0,3.0,4.0|4.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
5,2.1674854606639804,"0.0,2.0,0.0,3.0,4.0|1.0,3.0,2.0,3.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
6,2.167283492257887,"2.0,2.0,1.0,3.0,4.0|3.0,3.0,2.0,4.0,3.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
7,2.165860288616303,"0.0,1.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|1.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
8,2.16411389258889,"0.0,2.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,0.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
9,2.163464858703802,"0.0,2.0,4.0,3.0,4.0|3.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,2.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
10,2.163277119564783,"0.0,2.0,4.0,3.0,4.0|4.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
11,2.1607985883970553,"0.0,2.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
12,2.15803824447816,"0.0,2.0,4.0,3.0,4.0|1.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
13,2.0717039907376584,"2.0,2.0,1.0,3.0,4.0|1.0,3.0,2.0,4.0,3.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,1.0,1.0|3.0,4.0,3.0,3.0,3.0"
14,1.9538219888743973,"0.0,2.0,4.0,3.0,1.0|4.0,3.0,2.0,2.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,2.0,3.0"
15,1.6659257761268174,"0.0,2.0,4.0,4.0,4.0|3.0,3.0,2.0,4.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
16,1.6398877309923712,"2.0,2.0,1.0,3.0,4.0|0.0,3.0,2.0,4.0,3.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,2.0,3.0"
17,1.2655436909788569,"3.0,0.0,4.0,3.0,4.0|1.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
18,1.2574761145771274,"0.0,1.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,0.0|3.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
19,1.237104048671695,"0.0,2.0,0.0,3.0,4.0|1.0,3.0,2.0,0.0,4.0|0.0,0.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
20,1.1392374805081233,"0.0,2.0,0.0,3.0,4.0|1.0,3.0,2.0,3.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,1.0,1.0|3.0,4.0,0.0,3.0,3.0"
21,1.135060693234408,"0.0,1.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,0.0,3.0,3.0,3.0"
22,1.1213710900382403,"0.0,1.0,4.0,3.0,0.0|3.0,3.0,2.0,0.0,4.0|4.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
23,1.0786230129963965,"0.0,2.0,4.0,3.0,4.0|1.0,3.0,2.0,0.0,2.0|0.0,1.0,2.0,4.0,4.0|4.0,4.0,3.0,2.0,1.0|3.0,4.0,3.0,3.0,3.0"
24,1.0500884098002519,"0.0,2.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|0.0,1.0,4.0,4.0,4.0|3.0,1.0,3.0,3.0,1.0|3.0,4.0,3.0,3.0,3.0"
25,0.919342616439498,"0.0,1.0,4.0,3.0,4.0|3.0,3.0,2.0,0.0,4.0|4.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,3.0,1.0|3.0,1.0,3.0,3.0,3.0"
26,0.5733294798839479,"0.0,2.0,4.0,3.0,4.0|4.0,3.0,2.0,2.0,4.0|0.0,3.0,4.0,4.0,4.0|4.0,4.0,4.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
27,0.30511848579148615,"0.0,2.0,4.0,3.0,4.0|4.0,3.0,2.0,2.0,4.0|0.0,1.0,0.0,4.0,1.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
28,0.20435855417323523,"0.0,2.0,4.0,3.0,4.0|4.0,3.0,2.0,2.0,3.0|0.0,1.0,4.0,4.0,4.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,1.0,3.0,3.0"
29,0.018232730500242655,"0.0,2.0,4.0,0.0,4.0|3.0,3.0,2.0,2.0,4.0|2.0,1.0,4.0,4.0,2.0|4.0,4.0,3.0,2.0,3.0|3.0,4.0,3.0,3.0,3.0"
