Individual,Fitness,RobotStructure
0,3.046160263916961,"4.0,3.0,3.0,3.0,3.0|1.0,4.0,4.0,3.0,0.0|0.0,2.0,3.0,0.0,0.0|0.0,2.0,4.0,4.0,2.0|4.0,1.0,4.0,0.0,1.0"
1,2.697249244344495,"4.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,3.0,0.0|3.0,2.0,3.0,4.0,0.0|0.0,2.0,1.0,4.0,4.0|4.0,2.0,4.0,0.0,4.0"
2,2.579568425574716,"3.0,4.0,1.0,2.0,3.0|0.0,0.0,1.0,3.0,3.0|0.0,1.0,3.0,4.0,0.0|0.0,2.0,4.0,2.0,4.0|2.0,1.0,4.0,0.0,4.0"
3,2.5297551317812483,"0.0,4.0,3.0,3.0,3.0|1.0,1.0,4.0,3.0,0.0|1.0,2.0,3.0,4.0,0.0|0.0,2.0,4.0,4.0,4.0|4.0,1.0,4.0,0.0,4.0"
4,2.506119494072572,"3.0,4.0,3.0,2.0,3.0|4.0,0.0,1.0,3.0,2.0|0.0,1.0,3.0,4.0,0.0|0.0,2.0,4.0,2.0,4.0|2.0,1.0,4.0,0.0,4.0"
5,2.4953579769144216,"0.0,3.0,1.0,3.0,3.0|4.0,3.0,0.0,2.0,1.0|3.0,1.0,3.0,4.0,0.0|0.0,2.0,4.0,3.0,2.0|4.0,1.0,4.0,2.0,4.0"
6,2.456435522232459,"4.0,3.0,3.0,3.0,1.0|1.0,4.0,4.0,1.0,0.0|0.0,2.0,3.0,0.0,0.0|0.0,2.0,4.0,4.0,2.0|2.0,1.0,4.0,0.0,4.0"
7,2.4350778789735057,"0.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,3.0,0.0|1.0,2.0,3.0,4.0,0.0|0.0,2.0,1.0,4.0,4.0|4.0,1.0,4.0,0.0,4.0"
8,2.434683280232898,"3.0,4.0,1.0,1.0,3.0|0.0,0.0,4.0,3.0,1.0|3.0,1.0,3.0,4.0,0.0|0.0,2.0,4.0,2.0,4.0|4.0,1.0,4.0,0.0,4.0"
9,2.4325386334033605,"1.0,3.0,1.0,3.0,3.0|4.0,3.0,0.0,2.0,1.0|3.0,1.0,3.0,4.0,0.0|0.0,2.0,4.0,3.0,4.0|4.0,1.0,4.0,2.0,1.0"
10,2.4239798397557784,"4.0,3.0,3.0,3.0,1.0|1.0,4.0,4.0,1.0,0.0|0.0,2.0,4.0,0.0,0.0|0.0,2.0,1.0,4.0,2.0|2.0,1.0,4.0,3.0,4.0"
11,2.0010640413496716,"4.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,3.0,0.0|3.0,2.0,3.0,4.0,0.0|2.0,2.0,1.0,4.0,0.0|4.0,2.0,4.0,3.0,4.0"
12,1.959826412968735,"1.0,3.0,1.0,3.0,3.0|4.0,3.0,2.0,2.0,1.0|3.0,1.0,4.0,4.0,0.0|0.0,2.0,2.0,3.0,4.0|4.0,1.0,4.0,2.0,1.0"
13,1.893923044866747,"4.0,3.0,3.0,3.0,0.0|3.0,4.0,4.0,1.0,0.0|0.0,2.0,4.0,0.0,0.0|0.0,2.0,1.0,2.0,2.0|2.0,1.0,4.0,3.0,4.0"
14,1.6597501332062459,"0.0,0.0,3.0,4.0,3.0|1.0,1.0,1.0,3.0,0.0|4.0,2.0,3.0,4.0,0.0|0.0,2.0,2.0,4.0,4.0|4.0,1.0,4.0,0.0,4.0"
15,1.5376077062727438,"3.0,0.0,3.0,4.0,3.0|1.0,0.0,1.0,3.0,0.0|1.0,2.0,3.0,4.0,0.0|0.0,2.0,1.0,4.0,4.0|4.0,1.0,4.0,0.0,4.0"
16,1.4925720102865476,"1.0,2.0,1.0,3.0,3.0|4.0,3.0,0.0,2.0,1.0|3.0,4.0,3.0,4.0,0.0|0.0,2.0,4.0,3.0,4.0|4.0,1.0,1.0,2.0,1.0"
17,1.4824298487974925,"4.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,3.0,0.0|2.0,2.0,3.0,3.0,0.0|0.0,2.0,1.0,4.0,4.0|4.0,2.0,4.0,0.0,2.0"
18,1.3236255381337663,"4.0,3.0,3.0,3.0,1.0|1.0,4.0,4.0,1.0,0.0|0.0,2.0,3.0,0.0,0.0|0.0,2.0,4.0,2.0,3.0|3.0,1.0,4.0,0.0,4.0"
19,1.2845286664439164,"2.0,3.0,1.0,3.0,3.0|4.0,3.0,0.0,2.0,1.0|3.0,4.0,3.0,4.0,4.0|0.0,2.0,4.0,3.0,2.0|4.0,1.0,4.0,2.0,4.0"
20,1.2527803693368325,"0.0,4.0,4.0,3.0,3.0|1.0,1.0,4.0,3.0,0.0|1.0,2.0,1.0,4.0,0.0|0.0,2.0,4.0,4.0,4.0|4.0,1.0,4.0,0.0,0.0"
21,1.1379967377211495,"3.0,4.0,1.0,2.0,3.0|0.0,0.0,1.0,3.0,3.0|3.0,1.0,0.0,4.0,0.0|0.0,3.0,4.0,2.0,4.0|2.0,1.0,4.0,0.0,4.0"
22,0.9370205268635198,"4.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,0.0,0.0|3.0,2.0,3.0,4.0,0.0|0.0,0.0,1.0,4.0,4.0|0.0,2.0,4.0,0.0,4.0"
23,0.7849052348626416,"0.0,3.0,1.0,1.0,0.0|4.0,3.0,0.0,2.0,1.0|3.0,1.0,3.0,4.0,4.0|0.0,2.0,4.0,3.0,2.0|4.0,1.0,4.0,2.0,4.0"
24,0.6599545361837177,"0.0,4.0,3.0,3.0,3.0|1.0,1.0,2.0,3.0,0.0|1.0,2.0,3.0,4.0,3.0|0.0,2.0,4.0,4.0,4.0|3.0,1.0,4.0,0.0,4.0"
