Individual,Fitness,RobotStructure
0,4.9380982921631,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,3.0,2.0,1.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
1,4.343586445311684,"1.0,3.0,3.0,3.0,3.0|1.0,1.0,2.0,4.0,1.0|1.0,2.0,4.0,2.0,1.0|3.0,0.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
2,4.300885674107499,"0.0,3.0,2.0,3.0,3.0|3.0,4.0,3.0,1.0,1.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
3,4.276330709498229,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,2.0,4.0,1.0|1.0,2.0,4.0,2.0,1.0|2.0,0.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
4,4.266182103579787,"4.0,3.0,3.0,3.0,3.0|4.0,1.0,4.0,4.0,1.0|2.0,2.0,4.0,2.0,1.0|3.0,0.0,4.0,0.0,0.0|4.0,0.0,2.0,0.0,0.0"
5,4.262928247363051,"0.0,3.0,3.0,3.0,3.0|0.0,4.0,2.0,2.0,1.0|1.0,2.0,4.0,0.0,1.0|1.0,4.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
6,4.218352105102591,"0.0,3.0,3.0,3.0,3.0|0.0,4.0,2.0,4.0,1.0|1.0,2.0,4.0,4.0,1.0|1.0,2.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
7,4.060833421858449,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,2.0,4.0,1.0|1.0,0.0,4.0,2.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
8,4.039591788984714,"3.0,3.0,3.0,3.0,3.0|1.0,3.0,2.0,4.0,2.0|1.0,2.0,4.0,2.0,1.0|3.0,0.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
9,4.002095027738894,"4.0,3.0,3.0,3.0,3.0|4.0,4.0,4.0,4.0,1.0|1.0,2.0,4.0,2.0,1.0|2.0,0.0,4.0,0.0,0.0|4.0,0.0,2.0,0.0,0.0"
10,3.993574372260663,"0.0,3.0,3.0,3.0,3.0|2.0,4.0,2.0,4.0,1.0|1.0,2.0,4.0,2.0,1.0|2.0,1.0,4.0,0.0,0.0|1.0,0.0,2.0,0.0,0.0"
11,3.4238679186229257,"4.0,3.0,3.0,3.0,3.0|4.0,1.0,4.0,4.0,1.0|1.0,2.0,4.0,1.0,1.0|2.0,2.0,4.0,0.0,0.0|4.0,0.0,2.0,0.0,0.0"
12,3.018372120663813,"0.0,3.0,3.0,3.0,3.0|4.0,1.0,3.0,2.0,3.0|4.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
13,2.8979716480495727,"0.0,3.0,4.0,3.0,3.0|4.0,2.0,3.0,1.0,1.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
14,2.8821937805981666,"4.0,3.0,3.0,3.0,3.0|4.0,2.0,4.0,4.0,1.0|2.0,2.0,4.0,2.0,3.0|3.0,2.0,4.0,0.0,0.0|4.0,0.0,2.0,0.0,0.0"
15,2.8123339520608215,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,2.0,3.0,1.0|4.0,0.0,4.0,2.0,1.0|2.0,0.0,4.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
16,2.8048723313829305,"3.0,3.0,3.0,3.0,3.0|4.0,4.0,3.0,2.0,3.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,3.0,0.0,0.0"
17,2.603890399343997,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,2.0,0.0,4.0|1.0,0.0,4.0,2.0,1.0|2.0,0.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
18,2.57233863674342,"1.0,3.0,3.0,3.0,3.0|1.0,3.0,2.0,4.0,2.0|1.0,2.0,4.0,0.0,1.0|3.0,0.0,4.0,1.0,0.0|3.0,0.0,2.0,0.0,0.0"
19,2.3561240091137403,"1.0,0.0,3.0,3.0,3.0|1.0,1.0,1.0,4.0,1.0|1.0,2.0,4.0,2.0,1.0|3.0,0.0,4.0,0.0,0.0|3.0,0.0,1.0,0.0,0.0"
20,2.242758869208924,"0.0,3.0,3.0,3.0,3.0|4.0,4.0,1.0,2.0,1.0|1.0,2.0,4.0,0.0,1.0|2.0,1.0,2.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
21,1.539521353786519,"0.0,4.0,3.0,3.0,3.0|3.0,4.0,2.0,4.0,1.0|1.0,0.0,4.0,2.0,1.0|2.0,1.0,1.0,0.0,0.0|2.0,0.0,2.0,0.0,0.0"
22,1.4737843052549051,"0.0,4.0,3.0,3.0,3.0|4.0,4.0,3.0,2.0,1.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,2.0,0.0,0.0|2.0,2.0,2.0,0.0,0.0"
23,1.4709165839427074,"0.0,3.0,3.0,3.0,3.0|0.0,3.0,2.0,4.0,1.0|1.0,2.0,4.0,4.0,1.0|3.0,2.0,4.0,0.0,2.0|3.0,0.0,2.0,0.0,0.0"
24,1.1718937998609102,"3.0,3.0,3.0,3.0,3.0|1.0,3.0,2.0,4.0,2.0|1.0,2.0,1.0,4.0,1.0|3.0,0.0,4.0,0.0,0.0|1.0,0.0,2.0,0.0,0.0"
25,1.121140316111186,"0.0,3.0,2.0,3.0,3.0|0.0,4.0,2.0,4.0,1.0|1.0,3.0,4.0,3.0,1.0|1.0,2.0,4.0,0.0,0.0|3.0,0.0,2.0,0.0,0.0"
26,1.1136282003036366,"1.0,3.0,3.0,3.0,3.0|4.0,4.0,2.0,4.0,1.0|1.0,0.0,4.0,2.0,1.0|2.0,1.0,4.0,0.0,0.0|2.0,0.0,2.0,2.0,4.0"
27,1.0837652242918312,"0.0,3.0,3.0,3.0,0.0|4.0,4.0,3.0,2.0,1.0|1.0,0.0,4.0,0.0,1.0|2.0,1.0,4.0,0.0,3.0|2.0,0.0,2.0,0.0,4.0"
28,0.904880119220462,"0.0,3.0,3.0,3.0,3.0|0.0,4.0,2.0,4.0,1.0|1.0,4.0,4.0,4.0,1.0|1.0,2.0,0.0,0.0,0.0|3.0,4.0,2.0,0.0,0.0"
29,0.2717511157281214,"0.0,2.0,3.0,3.0,1.0|0.0,4.0,2.0,4.0,1.0|1.0,2.0,4.0,4.0,1.0|1.0,2.0,4.0,0.0,0.0|3.0,0.0,2.0,2.0,0.0"
