Individual,Fitness,RobotStructure
0,2.356881619792366,"0.0,2.0,3.0,4.0,1.0|3.0,4.0,0.0,2.0,4.0|3.0,4.0,4.0,3.0,3.0|4.0,2.0,4.0,2.0,3.0|4.0,3.0,0.0,0.0,1.0"
1,2.210344269801333,"0.0,0.0,1.0,4.0,1.0|3.0,1.0,3.0,2.0,4.0|0.0,2.0,2.0,1.0,1.0|4.0,3.0,4.0,3.0,1.0|2.0,2.0,0.0,1.0,3.0"
2,2.160464151878945,"3.0,3.0,2.0,1.0,1.0|1.0,1.0,0.0,4.0,0.0|0.0,3.0,2.0,4.0,4.0|2.0,3.0,3.0,2.0,3.0|4.0,2.0,3.0,3.0,1.0"
3,2.1393605492217214,"0.0,3.0,4.0,2.0,4.0|3.0,2.0,3.0,2.0,4.0|0.0,3.0,4.0,1.0,1.0|4.0,3.0,4.0,2.0,3.0|0.0,2.0,0.0,3.0,3.0"
4,2.0554997458399766,"1.0,3.0,1.0,4.0,4.0|3.0,2.0,1.0,2.0,2.0|2.0,2.0,2.0,2.0,3.0|4.0,1.0,2.0,1.0,3.0|3.0,1.0,3.0,3.0,2.0"
5,2.051272716997261,"2.0,4.0,2.0,4.0,4.0|1.0,1.0,3.0,1.0,0.0|1.0,4.0,2.0,3.0,2.0|4.0,1.0,3.0,3.0,1.0|1.0,3.0,2.0,0.0,1.0"
6,1.9856771725844764,"4.0,3.0,3.0,2.0,4.0|3.0,2.0,0.0,3.0,2.0|3.0,1.0,2.0,3.0,3.0|4.0,0.0,2.0,0.0,3.0|3.0,1.0,3.0,3.0,1.0"
7,1.975630029686891,"4.0,3.0,3.0,2.0,2.0|2.0,2.0,2.0,2.0,0.0|3.0,1.0,1.0,4.0,3.0|4.0,0.0,0.0,0.0,1.0|4.0,3.0,3.0,3.0,1.0"
8,1.944136048837996,"0.0,4.0,3.0,4.0,0.0|3.0,2.0,4.0,1.0,2.0|3.0,1.0,2.0,3.0,0.0|2.0,1.0,3.0,3.0,1.0|1.0,3.0,2.0,0.0,3.0"
9,1.944136048837996,"0.0,4.0,3.0,4.0,0.0|3.0,2.0,4.0,1.0,2.0|3.0,1.0,2.0,3.0,0.0|2.0,1.0,3.0,3.0,1.0|1.0,3.0,2.0,0.0,3.0"
10,1.675298343053479,"0.0,4.0,4.0,2.0,4.0|0.0,2.0,3.0,3.0,2.0|3.0,4.0,2.0,3.0,1.0|2.0,4.0,4.0,3.0,1.0|1.0,0.0,2.0,0.0,3.0"
11,1.0629546995922663,"1.0,3.0,1.0,4.0,4.0|3.0,2.0,4.0,2.0,2.0|0.0,1.0,0.0,3.0,0.0|2.0,1.0,4.0,2.0,1.0|3.0,3.0,2.0,3.0,3.0"
12,0.8344292253777793,"4.0,4.0,2.0,2.0,3.0|4.0,2.0,1.0,4.0,2.0|3.0,1.0,2.0,3.0,0.0|2.0,0.0,4.0,3.0,1.0|0.0,4.0,2.0,0.0,3.0"
13,0.5559917867991673,"4.0,4.0,2.0,1.0,4.0|3.0,3.0,3.0,1.0,0.0|3.0,4.0,0.0,3.0,2.0|4.0,1.0,1.0,3.0,3.0|1.0,1.0,2.0,1.0,2.0"
14,0.5245665333775951,"1.0,1.0,0.0,4.0,2.0|3.0,0.0,0.0,4.0,0.0|3.0,4.0,3.0,3.0,2.0|4.0,2.0,2.0,2.0,3.0|4.0,1.0,0.0,0.0,1.0"
15,0.5027457831968853,"2.0,2.0,2.0,4.0,1.0|2.0,0.0,4.0,2.0,0.0|1.0,1.0,2.0,1.0,2.0|4.0,1.0,2.0,1.0,1.0|1.0,3.0,2.0,0.0,2.0"
16,0.3781173109225855,"1.0,0.0,1.0,4.0,0.0|1.0,3.0,3.0,2.0,4.0|2.0,2.0,2.0,4.0,4.0|4.0,1.0,2.0,1.0,3.0|4.0,1.0,3.0,1.0,1.0"
17,0.3316637706638983,"0.0,2.0,1.0,0.0,1.0|1.0,1.0,3.0,2.0,4.0|4.0,2.0,1.0,1.0,2.0|4.0,1.0,0.0,1.0,1.0|3.0,2.0,1.0,1.0,3.0"
18,0.09256912905503245,"4.0,4.0,1.0,1.0,1.0|3.0,0.0,0.0,4.0,1.0|0.0,3.0,2.0,4.0,4.0|2.0,4.0,3.0,2.0,4.0|4.0,1.0,3.0,0.0,3.0"
19,0.019284827704187435,"0.0,4.0,3.0,4.0,0.0|3.0,2.0,3.0,1.0,1.0|1.0,1.0,1.0,4.0,0.0|0.0,3.0,0.0,3.0,1.0|4.0,3.0,2.0,2.0,2.0"
20,0.01570669939436975,"0.0,1.0,1.0,4.0,0.0|0.0,2.0,4.0,2.0,1.0|0.0,2.0,2.0,0.0,3.0|4.0,3.0,4.0,1.0,1.0|2.0,2.0,0.0,3.0,2.0"
21,-0.10011240752802464,"0.0,1.0,2.0,4.0,2.0|2.0,2.0,4.0,1.0,2.0|1.0,1.0,0.0,3.0,0.0|0.0,2.0,3.0,1.0,4.0|1.0,4.0,2.0,0.0,3.0"
22,-0.10563233278497242,"0.0,2.0,3.0,1.0,2.0|2.0,4.0,0.0,4.0,1.0|2.0,3.0,1.0,3.0,3.0|4.0,2.0,4.0,2.0,2.0|4.0,3.0,1.0,1.0,1.0"
23,-0.10681925792629401,"0.0,1.0,3.0,4.0,0.0|4.0,2.0,4.0,1.0,2.0|3.0,1.0,1.0,1.0,4.0|2.0,4.0,3.0,1.0,2.0|2.0,4.0,2.0,0.0,4.0"
24,-0.2825997347135325,"3.0,1.0,2.0,2.0,1.0|2.0,1.0,0.0,3.0,0.0|2.0,2.0,2.0,4.0,4.0|1.0,3.0,3.0,1.0,1.0|4.0,2.0,4.0,3.0,4.0"
25,-0.460318797593949,"2.0,3.0,1.0,4.0,4.0|3.0,2.0,1.0,4.0,2.0|3.0,2.0,2.0,2.0,4.0|2.0,2.0,3.0,0.0,2.0|3.0,1.0,3.0,4.0,0.0"
26,-0.596788544918517,"4.0,2.0,3.0,3.0,4.0|3.0,2.0,0.0,1.0,2.0|1.0,1.0,2.0,1.0,4.0|1.0,0.0,0.0,0.0,4.0|3.0,3.0,3.0,3.0,4.0"
27,-0.5990904092396928,"0.0,4.0,3.0,4.0,4.0|4.0,1.0,0.0,1.0,2.0|2.0,1.0,4.0,4.0,0.0|2.0,1.0,3.0,3.0,1.0|3.0,1.0,1.0,2.0,3.0"
28,-0.674895111572841,"0.0,0.0,3.0,0.0,0.0|1.0,0.0,4.0,4.0,2.0|3.0,1.0,2.0,3.0,0.0|2.0,4.0,3.0,4.0,0.0|1.0,3.0,0.0,2.0,0.0"
29,-0.9098033479740292,"1.0,3.0,2.0,4.0,2.0|1.0,0.0,4.0,4.0,0.0|3.0,3.0,4.0,4.0,4.0|2.0,2.0,3.0,4.0,3.0|0.0,2.0,3.0,3.0,4.0"
