Individual,Fitness,RobotStructure
0,3.2622650420979693,"2.0,3.0,0.0,4.0,0.0|3.0,2.0,1.0,1.0,2.0|1.0,3.0,0.0,2.0,4.0|3.0,3.0,3.0,3.0,3.0|3.0,0.0,0.0,3.0,0.0"
1,2.969931829916204,"2.0,3.0,4.0,2.0,0.0|3.0,2.0,1.0,3.0,0.0|1.0,3.0,0.0,4.0,4.0|3.0,3.0,3.0,0.0,3.0|3.0,3.0,3.0,3.0,3.0"
2,2.8527668663435177,"0.0,4.0,0.0,3.0,0.0|1.0,2.0,3.0,2.0,3.0|0.0,0.0,2.0,3.0,4.0|0.0,4.0,2.0,4.0,0.0|0.0,4.0,0.0,0.0,0.0"
3,2.708847286110932,"2.0,3.0,3.0,2.0,0.0|3.0,0.0,3.0,1.0,1.0|4.0,1.0,2.0,1.0,4.0|3.0,3.0,3.0,2.0,3.0|0.0,4.0,0.0,3.0,2.0"
4,2.5926332742567446,"0.0,4.0,2.0,3.0,2.0|1.0,1.0,3.0,2.0,4.0|4.0,3.0,3.0,4.0,1.0|1.0,1.0,4.0,4.0,0.0|1.0,1.0,4.0,0.0,0.0"
5,2.571707784812696,"3.0,3.0,1.0,1.0,4.0|1.0,2.0,2.0,1.0,4.0|4.0,1.0,4.0,2.0,3.0|2.0,1.0,1.0,0.0,0.0|1.0,1.0,4.0,0.0,0.0"
6,2.5179035341507596,"1.0,4.0,2.0,0.0,2.0|2.0,1.0,3.0,3.0,4.0|4.0,3.0,4.0,3.0,1.0|1.0,1.0,2.0,4.0,0.0|4.0,0.0,3.0,0.0,0.0"
7,2.492662007063042,"2.0,1.0,4.0,2.0,1.0|3.0,0.0,4.0,3.0,0.0|1.0,1.0,3.0,2.0,1.0|3.0,2.0,4.0,3.0,3.0|3.0,2.0,3.0,0.0,1.0"
8,2.4778296189389524,"1.0,3.0,3.0,2.0,0.0|3.0,1.0,3.0,4.0,0.0|1.0,1.0,0.0,4.0,4.0|3.0,3.0,4.0,3.0,3.0|3.0,0.0,0.0,2.0,3.0"
9,2.423908747918411,"2.0,0.0,4.0,2.0,2.0|3.0,0.0,2.0,3.0,0.0|1.0,1.0,0.0,2.0,4.0|3.0,2.0,1.0,0.0,3.0|3.0,0.0,3.0,3.0,1.0"
10,2.325802284745186,"2.0,3.0,1.0,0.0,0.0|2.0,1.0,3.0,3.0,4.0|4.0,1.0,4.0,3.0,3.0|1.0,2.0,2.0,4.0,1.0|2.0,0.0,3.0,0.0,0.0"
11,2.2932233170767184,"0.0,4.0,1.0,2.0,0.0|1.0,2.0,3.0,2.0,3.0|2.0,0.0,2.0,3.0,4.0|2.0,1.0,2.0,4.0,0.0|0.0,4.0,0.0,0.0,0.0"
12,2.1134488378201075,"0.0,4.0,1.0,3.0,1.0|2.0,4.0,4.0,3.0,0.0|4.0,1.0,4.0,4.0,2.0|1.0,2.0,2.0,4.0,0.0|2.0,2.0,4.0,0.0,0.0"
13,2.0836975445798944,"2.0,0.0,0.0,3.0,3.0|3.0,4.0,4.0,2.0,4.0|2.0,1.0,2.0,2.0,1.0|0.0,1.0,2.0,4.0,0.0|1.0,1.0,4.0,0.0,0.0"
14,1.9396436763723182,"2.0,3.0,2.0,1.0,0.0|1.0,2.0,1.0,3.0,0.0|1.0,3.0,0.0,4.0,4.0|0.0,4.0,3.0,4.0,3.0|3.0,1.0,0.0,0.0,3.0"
15,1.8344856239417822,"3.0,3.0,3.0,3.0,0.0|2.0,0.0,3.0,1.0,0.0|0.0,1.0,2.0,4.0,1.0|1.0,3.0,3.0,4.0,3.0|2.0,0.0,0.0,3.0,3.0"
16,1.7800190495078136,"0.0,4.0,1.0,4.0,0.0|0.0,1.0,3.0,3.0,4.0|1.0,1.0,4.0,3.0,3.0|1.0,2.0,2.0,4.0,1.0|2.0,0.0,3.0,0.0,0.0"
17,1.7757640166988677,"0.0,3.0,1.0,3.0,3.0|2.0,1.0,4.0,1.0,1.0|4.0,3.0,4.0,2.0,1.0|2.0,2.0,4.0,4.0,0.0|1.0,1.0,4.0,0.0,0.0"
18,1.5593647550886582,"0.0,3.0,2.0,3.0,4.0|3.0,3.0,4.0,2.0,1.0|1.0,3.0,4.0,4.0,1.0|1.0,1.0,4.0,4.0,0.0|2.0,1.0,4.0,0.0,0.0"
19,1.527095373225663,"4.0,3.0,3.0,3.0,4.0|3.0,1.0,4.0,2.0,1.0|4.0,1.0,4.0,2.0,4.0|1.0,3.0,4.0,2.0,0.0|2.0,1.0,3.0,0.0,0.0"
20,1.4557427864822443,"2.0,4.0,3.0,1.0,0.0|4.0,1.0,4.0,2.0,0.0|4.0,4.0,4.0,2.0,3.0|1.0,3.0,1.0,4.0,0.0|1.0,4.0,4.0,0.0,0.0"
21,1.3936228130541402,"2.0,4.0,2.0,3.0,2.0|4.0,0.0,0.0,1.0,4.0|3.0,3.0,4.0,4.0,1.0|1.0,4.0,1.0,4.0,0.0|0.0,1.0,4.0,0.0,0.0"
22,1.3934922921069273,"0.0,1.0,2.0,2.0,2.0|2.0,2.0,3.0,3.0,0.0|3.0,0.0,4.0,3.0,4.0|1.0,2.0,2.0,4.0,3.0|0.0,2.0,4.0,4.0,0.0"
23,1.2354548708283863,"2.0,4.0,3.0,1.0,2.0|1.0,4.0,1.0,3.0,3.0|2.0,3.0,0.0,2.0,4.0|1.0,2.0,4.0,4.0,0.0|0.0,4.0,3.0,4.0,3.0"
24,1.201403811790295,"1.0,4.0,1.0,1.0,3.0|1.0,2.0,3.0,1.0,3.0|4.0,4.0,2.0,3.0,3.0|1.0,4.0,1.0,4.0,0.0|1.0,4.0,4.0,0.0,0.0"
25,1.1598347871054335,"0.0,1.0,4.0,0.0,2.0|0.0,1.0,2.0,3.0,1.0|4.0,4.0,4.0,3.0,4.0|1.0,1.0,4.0,4.0,0.0|1.0,3.0,0.0,0.0,0.0"
26,1.1406218280347629,"2.0,1.0,3.0,0.0,4.0|3.0,2.0,0.0,2.0,3.0|4.0,1.0,4.0,2.0,4.0|0.0,1.0,4.0,4.0,0.0|0.0,4.0,3.0,0.0,0.0"
27,1.1137699607653182,"0.0,0.0,1.0,3.0,3.0|3.0,1.0,4.0,3.0,4.0|4.0,0.0,4.0,2.0,2.0|1.0,0.0,1.0,4.0,0.0|1.0,2.0,4.0,1.0,3.0"
28,1.1108385961730678,"2.0,0.0,3.0,2.0,4.0|3.0,0.0,3.0,2.0,3.0|2.0,0.0,4.0,2.0,4.0|2.0,2.0,4.0,4.0,0.0|2.0,4.0,0.0,1.0,0.0"
29,1.1005230561964912,"2.0,4.0,2.0,3.0,1.0|2.0,1.0,3.0,2.0,4.0|4.0,1.0,0.0,4.0,4.0|3.0,2.0,4.0,4.0,1.0|2.0,1.0,4.0,0.0,0.0"
30,1.0955764304064144,"3.0,4.0,1.0,1.0,2.0|1.0,1.0,4.0,3.0,3.0|4.0,4.0,4.0,1.0,4.0|1.0,2.0,2.0,4.0,0.0|0.0,2.0,4.0,4.0,1.0"
31,1.0380276113157008,"0.0,3.0,3.0,1.0,0.0|2.0,2.0,1.0,1.0,3.0|1.0,3.0,2.0,2.0,1.0|1.0,3.0,3.0,3.0,3.0|2.0,1.0,3.0,3.0,1.0"
32,1.0298280787861491,"3.0,1.0,1.0,0.0,4.0|3.0,1.0,0.0,2.0,1.0|4.0,3.0,4.0,4.0,4.0|0.0,1.0,4.0,1.0,0.0|1.0,1.0,4.0,0.0,0.0"
33,1.0104041799145294,"0.0,0.0,0.0,2.0,0.0|1.0,2.0,3.0,3.0,2.0|4.0,0.0,2.0,3.0,4.0|1.0,1.0,2.0,4.0,0.0|1.0,4.0,0.0,3.0,0.0"
34,0.9882386505699594,"0.0,3.0,1.0,0.0,1.0|3.0,1.0,0.0,2.0,3.0|1.0,3.0,4.0,2.0,2.0|1.0,1.0,4.0,3.0,0.0|1.0,1.0,4.0,0.0,0.0"
35,0.9853517596632113,"0.0,3.0,3.0,2.0,2.0|0.0,2.0,1.0,1.0,1.0|0.0,1.0,4.0,1.0,4.0|1.0,1.0,2.0,4.0,0.0|1.0,4.0,0.0,0.0,0.0"
36,0.9766651444337705,"4.0,4.0,1.0,3.0,0.0|2.0,4.0,3.0,2.0,3.0|3.0,1.0,4.0,3.0,3.0|1.0,4.0,2.0,4.0,0.0|0.0,4.0,4.0,0.0,0.0"
37,0.9281990378938704,"2.0,2.0,1.0,1.0,4.0|3.0,0.0,4.0,3.0,4.0|4.0,1.0,4.0,2.0,1.0|3.0,1.0,4.0,3.0,1.0|1.0,2.0,3.0,0.0,1.0"
38,0.8941722846605306,"2.0,4.0,4.0,3.0,0.0|3.0,1.0,3.0,3.0,3.0|1.0,1.0,4.0,1.0,2.0|3.0,4.0,1.0,0.0,3.0|4.0,1.0,4.0,3.0,0.0"
39,0.8847163432149279,"3.0,0.0,3.0,1.0,4.0|1.0,2.0,2.0,2.0,4.0|2.0,4.0,4.0,0.0,3.0|2.0,1.0,1.0,4.0,0.0|0.0,1.0,0.0,0.0,0.0"
40,0.8414055921389813,"2.0,3.0,2.0,3.0,2.0|3.0,2.0,0.0,1.0,0.0|4.0,3.0,0.0,4.0,1.0|3.0,1.0,1.0,2.0,3.0|3.0,1.0,4.0,0.0,0.0"
41,0.8269780406476162,"2.0,1.0,1.0,3.0,0.0|3.0,2.0,3.0,1.0,0.0|1.0,0.0,0.0,4.0,4.0|1.0,3.0,2.0,4.0,4.0|3.0,2.0,3.0,0.0,3.0"
42,0.7942342773819547,"0.0,0.0,1.0,2.0,3.0|1.0,2.0,3.0,1.0,3.0|2.0,0.0,2.0,2.0,4.0|2.0,4.0,2.0,4.0,0.0|0.0,1.0,1.0,0.0,0.0"
43,0.7399813056609318,"2.0,3.0,0.0,1.0,0.0|3.0,2.0,1.0,1.0,0.0|1.0,3.0,0.0,4.0,4.0|3.0,3.0,3.0,0.0,3.0|3.0,1.0,0.0,3.0,3.0"
44,0.7146207492399911,"2.0,1.0,2.0,2.0,1.0|3.0,1.0,3.0,3.0,0.0|2.0,1.0,3.0,4.0,1.0|0.0,2.0,4.0,0.0,3.0|1.0,1.0,3.0,0.0,1.0"
45,0.6911236554933151,"0.0,4.0,1.0,3.0,2.0|1.0,2.0,1.0,1.0,4.0|2.0,3.0,4.0,0.0,1.0|1.0,1.0,1.0,0.0,3.0|4.0,4.0,4.0,0.0,0.0"
46,0.6673478819089825,"1.0,1.0,1.0,2.0,3.0|2.0,2.0,3.0,1.0,3.0|2.0,0.0,1.0,1.0,4.0|1.0,3.0,3.0,4.0,0.0|2.0,2.0,4.0,2.0,0.0"
47,0.6119346050292461,"2.0,3.0,2.0,2.0,4.0|3.0,0.0,0.0,2.0,1.0|4.0,1.0,4.0,1.0,1.0|3.0,0.0,4.0,2.0,3.0|0.0,4.0,2.0,0.0,2.0"
48,0.606376063469562,"0.0,1.0,2.0,0.0,3.0|0.0,1.0,1.0,2.0,3.0|1.0,3.0,1.0,4.0,1.0|1.0,2.0,2.0,4.0,3.0|4.0,3.0,0.0,0.0,1.0"
49,0.5883502330130924,"0.0,2.0,2.0,0.0,3.0|1.0,1.0,1.0,2.0,2.0|4.0,3.0,4.0,2.0,1.0|0.0,1.0,4.0,4.0,3.0|0.0,4.0,0.0,3.0,2.0"
50,0.5790338792067274,"0.0,4.0,1.0,0.0,0.0|3.0,1.0,2.0,0.0,4.0|2.0,0.0,2.0,2.0,3.0|1.0,2.0,2.0,4.0,0.0|2.0,1.0,0.0,0.0,0.0"
51,0.5530834000230801,"2.0,3.0,1.0,1.0,0.0|2.0,1.0,3.0,3.0,3.0|4.0,0.0,4.0,2.0,3.0|1.0,4.0,4.0,4.0,1.0|4.0,2.0,0.0,0.0,2.0"
52,0.5390124110839244,"0.0,3.0,3.0,3.0,4.0|3.0,1.0,0.0,2.0,1.0|3.0,3.0,4.0,2.0,1.0|2.0,1.0,4.0,0.0,1.0|1.0,1.0,4.0,0.0,4.0"
53,0.5346755274709472,"1.0,4.0,3.0,3.0,3.0|0.0,1.0,1.0,4.0,2.0|0.0,1.0,3.0,4.0,1.0|1.0,2.0,1.0,3.0,0.0|0.0,4.0,3.0,0.0,0.0"
54,0.5119774433702104,"0.0,0.0,4.0,2.0,3.0|1.0,2.0,3.0,2.0,0.0|4.0,1.0,4.0,4.0,4.0|0.0,4.0,2.0,3.0,0.0|0.0,2.0,4.0,0.0,0.0"
55,0.497406322358033,"0.0,4.0,4.0,1.0,0.0|1.0,0.0,0.0,3.0,3.0|1.0,0.0,2.0,2.0,1.0|3.0,1.0,4.0,4.0,3.0|4.0,2.0,2.0,0.0,1.0"
56,0.4759747173635853,"0.0,1.0,4.0,3.0,3.0|3.0,0.0,2.0,2.0,1.0|2.0,3.0,4.0,2.0,1.0|1.0,2.0,3.0,0.0,0.0|0.0,1.0,4.0,3.0,3.0"
57,0.32931202027791284,"1.0,4.0,2.0,3.0,2.0|3.0,1.0,3.0,3.0,1.0|2.0,3.0,1.0,0.0,1.0|1.0,1.0,2.0,0.0,0.0|1.0,1.0,4.0,4.0,3.0"
58,0.31590346973011274,"2.0,3.0,2.0,2.0,1.0|2.0,0.0,4.0,3.0,4.0|1.0,1.0,4.0,3.0,3.0|3.0,2.0,2.0,4.0,1.0|3.0,0.0,3.0,0.0,0.0"
59,0.3078340833113872,"0.0,4.0,3.0,1.0,0.0|3.0,4.0,1.0,2.0,2.0|0.0,3.0,2.0,2.0,3.0|1.0,1.0,0.0,4.0,0.0|0.0,4.0,0.0,0.0,0.0"
60,0.2691277632526912,"0.0,3.0,2.0,0.0,4.0|3.0,2.0,1.0,2.0,2.0|2.0,0.0,0.0,3.0,4.0|1.0,1.0,0.0,4.0,0.0|1.0,4.0,0.0,3.0,0.0"
61,0.24472159946269256,"0.0,3.0,2.0,2.0,4.0|0.0,2.0,3.0,0.0,1.0|4.0,3.0,4.0,3.0,1.0|3.0,3.0,2.0,0.0,0.0|3.0,4.0,4.0,0.0,0.0"
62,0.2313273597069202,"0.0,4.0,4.0,2.0,3.0|1.0,2.0,3.0,1.0,1.0|4.0,1.0,1.0,3.0,4.0|2.0,1.0,2.0,1.0,0.0|2.0,4.0,0.0,0.0,0.0"
63,0.2127107388399691,"0.0,4.0,0.0,4.0,0.0|1.0,2.0,3.0,4.0,3.0|0.0,0.0,2.0,3.0,4.0|0.0,4.0,2.0,3.0,0.0|0.0,4.0,0.0,3.0,0.0"
64,0.20217686783303251,"3.0,3.0,4.0,2.0,0.0|4.0,0.0,3.0,1.0,1.0|2.0,0.0,0.0,1.0,4.0|2.0,4.0,3.0,2.0,2.0|0.0,4.0,0.0,0.0,0.0"
65,0.1896459055014335,"0.0,1.0,2.0,0.0,2.0|3.0,1.0,4.0,2.0,3.0|4.0,3.0,3.0,4.0,0.0|1.0,1.0,0.0,4.0,0.0|2.0,3.0,4.0,0.0,0.0"
66,0.1401321254834605,"0.0,3.0,0.0,4.0,0.0|3.0,1.0,1.0,2.0,2.0|0.0,0.0,3.0,2.0,2.0|4.0,2.0,2.0,3.0,3.0|0.0,0.0,2.0,0.0,1.0"
67,0.11103521233368996,"0.0,3.0,1.0,2.0,0.0|3.0,1.0,3.0,1.0,1.0|0.0,0.0,2.0,2.0,4.0|3.0,2.0,2.0,2.0,1.0|2.0,4.0,0.0,0.0,2.0"
68,0.0937247619156758,"2.0,1.0,2.0,2.0,2.0|3.0,1.0,3.0,0.0,2.0|2.0,1.0,4.0,3.0,3.0|1.0,2.0,2.0,4.0,0.0|1.0,4.0,1.0,0.0,0.0"
69,0.07716197298331162,"3.0,4.0,1.0,0.0,0.0|0.0,2.0,1.0,3.0,3.0|1.0,4.0,2.0,3.0,1.0|2.0,1.0,2.0,4.0,4.0|1.0,4.0,0.0,0.0,0.0"
70,0.04954333336935107,"2.0,4.0,3.0,0.0,1.0|3.0,4.0,0.0,1.0,1.0|4.0,0.0,4.0,3.0,4.0|1.0,1.0,2.0,2.0,4.0|4.0,1.0,3.0,0.0,0.0"
71,0.049033494708409675,"1.0,1.0,1.0,2.0,0.0|0.0,0.0,0.0,2.0,3.0|1.0,3.0,1.0,2.0,1.0|0.0,3.0,4.0,4.0,3.0|2.0,4.0,0.0,0.0,2.0"
72,0.04386376688126342,"4.0,2.0,2.0,3.0,0.0|3.0,4.0,4.0,2.0,1.0|0.0,4.0,0.0,2.0,1.0|1.0,1.0,1.0,2.0,0.0|4.0,1.0,0.0,0.0,0.0"
73,0.025168953602385524,"2.0,3.0,0.0,2.0,0.0|1.0,4.0,3.0,2.0,4.0|0.0,1.0,2.0,3.0,4.0|2.0,2.0,2.0,4.0,2.0|1.0,4.0,3.0,0.0,0.0"
74,0.020301893609497135,"0.0,4.0,0.0,3.0,3.0|0.0,4.0,4.0,3.0,1.0|4.0,1.0,0.0,2.0,1.0|1.0,1.0,1.0,0.0,0.0|2.0,0.0,4.0,0.0,0.0"
75,0.01767833424416604,"0.0,0.0,4.0,2.0,0.0|1.0,2.0,3.0,3.0,1.0|4.0,0.0,2.0,4.0,4.0|0.0,4.0,2.0,3.0,0.0|0.0,3.0,0.0,2.0,2.0"
76,-0.007873167818156945,"0.0,0.0,0.0,1.0,3.0|2.0,2.0,3.0,1.0,3.0|2.0,4.0,4.0,2.0,3.0|2.0,4.0,0.0,1.0,0.0|0.0,4.0,0.0,4.0,0.0"
