Individual,Fitness,RobotStructure
0,0.4416472077486211,"4.0,1.0,0.0,1.0,1.0|2.0,0.0,0.0,3.0,0.0|2.0,4.0,1.0,4.0,0.0|1.0,2.0,1.0,2.0,0.0|1.0,4.0,0.0,0.0,0.0"
1,0.3702306508808967,"2.0,4.0,4.0,4.0,0.0|2.0,0.0,0.0,1.0,3.0|2.0,3.0,4.0,1.0,2.0|2.0,3.0,0.0,2.0,1.0|2.0,0.0,3.0,3.0,3.0"
2,0.32801087072886675,"0.0,4.0,1.0,2.0,1.0|0.0,2.0,0.0,4.0,4.0|2.0,4.0,4.0,0.0,1.0|1.0,0.0,4.0,3.0,0.0|3.0,0.0,4.0,4.0,0.0"
3,0.31392504296984647,"0.0,4.0,0.0,0.0,0.0|3.0,1.0,2.0,4.0,3.0|0.0,4.0,2.0,0.0,3.0|0.0,0.0,1.0,0.0,0.0|0.0,1.0,4.0,0.0,0.0"
4,0.2994297640476649,"1.0,3.0,2.0,4.0,3.0|4.0,1.0,1.0,1.0,0.0|1.0,0.0,1.0,1.0,1.0|1.0,3.0,0.0,2.0,4.0|4.0,0.0,2.0,4.0,0.0"
5,0.17464338979217653,"0.0,0.0,1.0,2.0,4.0|2.0,0.0,2.0,4.0,0.0|4.0,1.0,4.0,1.0,0.0|4.0,0.0,1.0,4.0,1.0|0.0,0.0,0.0,3.0,0.0"
6,0.14296908898878757,"0.0,2.0,0.0,0.0,0.0|0.0,2.0,3.0,4.0,2.0|2.0,3.0,2.0,0.0,2.0|2.0,0.0,0.0,3.0,2.0|0.0,0.0,3.0,4.0,1.0"
7,0.1265349439997983,"3.0,4.0,3.0,0.0,0.0|2.0,4.0,0.0,3.0,4.0|0.0,2.0,0.0,4.0,4.0|4.0,2.0,1.0,1.0,0.0|4.0,0.0,3.0,2.0,3.0"
8,0.10970011199080648,"0.0,0.0,1.0,4.0,4.0|0.0,0.0,0.0,4.0,3.0|3.0,0.0,4.0,4.0,2.0|1.0,1.0,4.0,0.0,4.0|0.0,3.0,4.0,0.0,2.0"
9,0.08976320687775713,"0.0,1.0,2.0,1.0,0.0|3.0,2.0,1.0,0.0,0.0|1.0,0.0,1.0,3.0,1.0|2.0,0.0,2.0,2.0,3.0|2.0,2.0,0.0,1.0,1.0"
10,0.07174117129753721,"0.0,0.0,2.0,0.0,2.0|2.0,4.0,4.0,0.0,3.0|3.0,0.0,3.0,2.0,3.0|1.0,4.0,3.0,0.0,3.0|2.0,1.0,0.0,2.0,3.0"
11,0.05482827573191673,"1.0,3.0,4.0,4.0,0.0|0.0,0.0,0.0,2.0,1.0|2.0,0.0,0.0,2.0,4.0|2.0,1.0,1.0,2.0,1.0|3.0,3.0,2.0,4.0,4.0"
12,0.0468602157884252,"0.0,0.0,2.0,2.0,0.0|4.0,1.0,1.0,0.0,1.0|4.0,1.0,3.0,3.0,1.0|0.0,2.0,0.0,1.0,3.0|1.0,4.0,0.0,0.0,0.0"
13,0.037035079624978595,"3.0,3.0,4.0,2.0,0.0|1.0,4.0,0.0,0.0,0.0|4.0,4.0,0.0,0.0,0.0|2.0,1.0,0.0,4.0,0.0|0.0,4.0,3.0,3.0,3.0"
14,0.012132385221438335,"3.0,0.0,0.0,0.0,0.0|1.0,0.0,0.0,0.0,3.0|2.0,4.0,4.0,0.0,2.0|2.0,3.0,3.0,1.0,2.0|3.0,2.0,0.0,0.0,0.0"
15,-0.0010150794365636484,"3.0,1.0,0.0,0.0,0.0|0.0,4.0,1.0,2.0,0.0|4.0,2.0,3.0,3.0,2.0|2.0,0.0,2.0,3.0,4.0|2.0,0.0,0.0,1.0,3.0"
16,-0.00901502390886838,"2.0,0.0,1.0,2.0,3.0|1.0,4.0,3.0,4.0,1.0|0.0,2.0,0.0,0.0,3.0|0.0,2.0,0.0,4.0,2.0|2.0,3.0,4.0,4.0,0.0"
17,-0.014800821843955703,"0.0,3.0,0.0,3.0,0.0|0.0,3.0,3.0,4.0,1.0|3.0,4.0,0.0,2.0,1.0|0.0,3.0,0.0,0.0,1.0|4.0,4.0,0.0,0.0,0.0"
18,-0.028816860713794745,"0.0,3.0,0.0,0.0,0.0|1.0,4.0,4.0,3.0,4.0|3.0,4.0,0.0,1.0,4.0|0.0,0.0,4.0,3.0,0.0|3.0,2.0,3.0,0.0,0.0"
19,-0.039512729267648206,"0.0,0.0,1.0,4.0,4.0|3.0,2.0,3.0,0.0,1.0|2.0,4.0,4.0,0.0,0.0|0.0,4.0,1.0,1.0,4.0|2.0,3.0,0.0,0.0,0.0"
20,-0.0623024447329778,"2.0,3.0,0.0,3.0,0.0|0.0,1.0,0.0,1.0,4.0|3.0,3.0,1.0,4.0,4.0|0.0,3.0,1.0,1.0,0.0|2.0,1.0,4.0,0.0,0.0"
21,-0.06429089797468618,"0.0,4.0,1.0,2.0,2.0|4.0,1.0,1.0,2.0,3.0|2.0,0.0,3.0,4.0,0.0|2.0,3.0,0.0,2.0,1.0|0.0,1.0,1.0,0.0,0.0"
22,-0.06916656115981906,"4.0,4.0,0.0,0.0,3.0|0.0,3.0,2.0,3.0,3.0|1.0,2.0,3.0,0.0,1.0|1.0,0.0,4.0,1.0,3.0|1.0,0.0,0.0,2.0,3.0"
23,-0.07130932615365221,"0.0,2.0,0.0,0.0,0.0|2.0,2.0,2.0,1.0,2.0|3.0,4.0,1.0,0.0,2.0|3.0,3.0,3.0,1.0,2.0|1.0,4.0,4.0,0.0,0.0"
24,-0.07246685328527064,"0.0,4.0,0.0,0.0,1.0|2.0,2.0,3.0,1.0,3.0|3.0,0.0,1.0,2.0,2.0|0.0,1.0,3.0,3.0,0.0|0.0,4.0,0.0,4.0,2.0"
